x	y	z	strain	u	v	w
2.162162e-01	5.000000e-01	0.000000e+00	-1.597268e-10	1.492606e-05	-1.352187e-06	3.952957e-04
1.861862e-01	5.000000e-01	0.000000e+00	-2.029569e-11	1.492606e-05	-7.388385e-07	2.160035e-04
1.561562e-01	5.000000e-01	0.000000e+00	-1.506612e-10	1.492606e-05	-1.254991e-07	3.671125e-05
1.261261e-01	5.000000e-01	0.000000e+00	-4.436782e-10	1.492607e-05	4.878345e-07	-1.425811e-04
9.609610e-02	5.000000e-01	0.000000e+00	-8.073426e-10	1.492609e-05	1.101163e-06	-3.218735e-04
6.606607e-02	5.000000e-01	0.000000e+00	-1.219013e-09	1.492612e-05	1.714482e-06	-5.011663e-04
3.603604e-02	5.000000e-01	0.000000e+00	-1.065859e-09	1.492616e-05	2.327768e-06	-6.804594e-04
0.000000e+00	5.511512e-01	0.000000e+00	1.212138e-05	1.388174e-05	3.016111e-06	-8.329299e-04
5.315315e-02	5.500000e-01	0.000000e+00	-2.703894e-09	1.390497e-05	1.978196e-06	-5.386985e-04
8.318318e-02	5.500000e-01	0.000000e+00	-1.302143e-09	1.390492e-05	1.364870e-06	-3.716719e-04
1.132132e-01	5.500000e-01	0.000000e+00	-8.120886e-10	1.390489e-05	7.515470e-07	-2.046458e-04
1.432432e-01	5.500000e-01	0.000000e+00	-4.626101e-10	1.390487e-05	1.382194e-07	-3.762004e-05
1.732733e-01	5.500000e-01	0.000000e+00	-2.262871e-10	1.390486e-05	-4.751115e-07	1.294056e-04
2.033033e-01	5.500000e-01	0.000000e+00	-2.338117e-10	1.390485e-05	-1.088441e-06	2.964311e-04
2.333333e-01	5.500000e-01	0.000000e+00	-5.066643e-10	1.390484e-05	-1.701765e-06	4.634565e-04
2.633634e-01	5.500000e-01	0.000000e+00	-3.105456e-10	1.390482e-05	-2.315082e-06	6.304818e-04
3.000000e-01	6.012513e-01	0.000000e+00	-1.085185e-05	1.285844e-05	-3.013220e-06	7.714521e-04
2.474474e-01	6.000000e-01	0.000000e+00	-9.715099e-10	1.288366e-05	-1.990013e-06	5.021579e-04
2.174174e-01	6.000000e-01	0.000000e+00	1.109484e-10	1.288367e-05	-1.376706e-06	3.473988e-04
1.873874e-01	6.000000e-01	0.000000e+00	9.157597e-11	1.288367e-05	-7.633856e-07	1.926398e-04
1.573574e-01	6.000000e-01	0.000000e+00	-3.705478e-10	1.288367e-05	-1.500582e-07	3.788081e-05
1.273273e-01	6.000000e-01	0.000000e+00	-1.036465e-09	1.288369e-05	4.632692e-07	-1.168783e-04
9.729730e-02	6.000000e-01	0.000000e+00	-1.500891e-09	1.288373e-05	1.076589e-06	-2.716378e-04
6.726727e-02	6.000000e-01	0.000000e+00	-1.443982e-09	1.288378e-05	1.689899e-06	-4.263979e-04
3.723724e-02	6.000000e-01	0.000000e+00	1.064534e-09	1.288380e-05	2.303230e-06	-5.811584e-04
0.000000e+00	6.513514e-01	0.000000e+00	1.225541e-05	1.183560e-05	3.015920e-06	-7.101328e-04
5.195195e-02	6.500000e-01	0.000000e+00	-1.858386e-09	1.186267e-05	2.002649e-06	-4.652724e-04
8.198198e-02	6.500000e-01	0.000000e+00	-2.394437e-09	1.186260e-05	1.389366e-06	-3.227781e-04
1.120120e-01	6.500000e-01	0.000000e+00	-1.982119e-09	1.186254e-05	7.760579e-07	-1.802846e-04
1.420420e-01	6.500000e-01	0.000000e+00	-9.103448e-10	1.186249e-05	1.627352e-07	-3.779174e-05
