x,y,w_xx,w_xy,w_yy
0.0,0.0,0.09102149307727814,0.0,0.02562651038169861
0.0037974685053282146,0.0,0.09140472114086151,0.0,0.025539925321936607
0.007594937010656429,0.0,0.09254489839076996,0.0,0.025280918926000595
0.011392405515984643,0.0,0.09441420435905457,0.0,0.024851743131875992
0.015189874021312859,0.0,0.09696659445762634,0.0,0.024256106466054916
0.018987342526641072,0.0,0.10013867914676666,0.0,0.023499149829149246
0.022784811031969287,0.0,0.1038508266210556,0.0,0.022587371990084648
0.026582279537297502,0.0,0.10800834000110626,0.0,0.021528566256165504
0.030379748042625717,0.0,0.11250318586826324,0.0,0.020331718027591705
0.03417721654795393,0.0,0.1172156035900116,0.0,0.01900690421462059
0.037974685053282144,0.0,0.1220163106918335,0.0,0.01756516844034195
0.04177215355861036,0.0,0.12676842510700226,0.0,0.01601840741932392
0.045569622063938574,0.0,0.13133002817630768,0.0,0.014379221946001053
0.04936709056926679,0.0,0.13555631041526794,0.0,0.012660769745707512
0.053164559074595004,0.0,0.13930228352546692,0.0,0.010876631364226341
0.05696202757992322,0.0,0.1424250602722168,0.0,0.009040639735758305
0.060759496085251434,0.0,0.1447865068912506,0.0,0.0071667274460196495
0.06455696459057965,0.0,0.14625568687915802,0.0,0.005268781911581755
0.06835443309590786,0.0,0.1467110812664032,0.0,0.003360478673130274
0.07215190160123608,0.0,0.14604291319847107,0.0,0.0014551477506756783
0.07594937010656429,0.0,0.14415527880191803,0.0,-0.00043437955901026726
0.07974683861189251,0.0,0.14096792042255402,0.0,-0.002295894781127572
0.08354430711722072,0.0,0.13641801476478577,0.0,-0.004117951728403568
0.08734177562254894,0.0,0.13046151399612427,0.0,-0.005889961961656809
0.09113924412787715,0.0,0.12307437509298325,0.0,-0.00760229304432869
0.09493671263320537,0.0,0.11425328254699707,0.0,-0.00924639031291008
0.09873418113853358,0.0,0.10401644557714462,0.0,-0.010814795270562172
0.1025316496438618,0.0,0.09240372478961945,0.0,-0.012301250360906124
0.10632911814919001,0.0,0.07947637885808945,0.0,-0.013700704090297222
0.11012658665451823,0.0,0.0653170719742775,0.0,-0.015009352937340736
0.11392405515984644,0.0,0.05002879351377487,0.0,-0.016224650666117668
0.11772152366517466,0.0,0.03373393416404724,0.0,-0.017345290631055832
0.12151899217050287,0.0,0.01657307893037796,0.0,-0.01837117038667202
0.12531646067583108,0.0,-0.00129670649766922,0.0,-0.019303375855088234
0.1291139291811593,0.0,-0.01970389485359192,0.0,-0.02014411985874176
0.13291139768648752,0.0,-0.038464367389678955,0.0,-0.02089664153754711
0.13670886619181571,0.0,-0.057383812963962555,0.0,-0.021565169095993042
0.14050633469714394,0.0,-0.07626038044691086,0.0,-0.0221547968685627
0.14430380320247216,0.0,-0.09488700330257416,0.0,-0.02267138659954071
0.14810127170780038,0.0,-0.1130547821521759,0.0,-0.023121464997529984
0.15189874021312857,0.0,-0.13055497407913208,0.0,-0.02351209707558155
0.1556962087184568,0.0,-0.14718256890773773,0.0,-0.023850757628679276
0.15949367722378502,0.0,-0.16273857653141022,0.0,-0.02414521388709545
0.16329114572911324,0.0,-0.17703348398208618,0.0,-0.024403395131230354
0.16708861423444143,0.0,-0.18988922238349915,0.0,-0.024633262306451797
0.17088608273976966,0.0,-0.20114228129386902,0.0,-0.02484268508851528
0.17468355124509788,0.0,-0.21064576506614685,0.0,-0.025039315223693848
0.1784810197504261,0.0,-0.2182719111442566,0.0,-0.02523047849535942
0.1822784882557543,0.0,-0.22391392290592194,0.0,-0.025423062965273857
0.18607595676108252,0.0,-0.2274874895811081,0.0,-0.025623422116041183
0.18987342526641074,0.0,-0.22893257439136505,0.0,-0.025837277993559837
0.19367089377173893,0.0,-0.22821426391601562,0.0,-0.026069657877087593
0.19746836227706716,0.0,-0.22532355785369873,0.0,-0.026324808597564697
0.20126583078239538,0.0,-0.22027796506881714,0.0,-0.02660616859793663
0.2050632992877236,0.0,-0.21312135457992554,0.0,-0.02691630646586418
0.2088607677930518,0.0,-0.20392394065856934,0.0,-0.027256913483142853
0.21265823629838002,0.0,-0.1927814483642578,0.0,-0.027628784999251366
0.21645570480370824,0.0,-0.1798143982887268,0.0,-0.02803182043135166
0.22025317330903646,0.0,-0.16516627371311188,0.0,-0.028465060517191887
0.22405064181436465,0.0,-0.14900262653827667,0.0,-0.02892669104039669
0.22784811031969288,0.0,-0.13150857388973236,0.0,-0.029414117336273193
0.2316455788250211,0.0,-0.11288698762655258,0.0,-0.029923994094133377
0.23544304733034932,0.0,-0.0933557078242302,0.0,-0.030452309176325798
0.23924051583567751,0.0,-0.0731450766324997,0.0,-0.030994467437267303
0.24303798434100574,0.0,-0.05249505117535591,0.0,-0.03154535964131355
0.24683545284633396,0.0,-0.03165232762694359,0.0,-0.03209945559501648
0.25063292135166215,0.0,-0.010867070406675339,0.0,-0.032650936394929886
0.2544303898569904,0.0,0.009610233828425407,0.0,-0.03319375962018967
0.2582278583623186,0.0,0.029531752690672874,0.0,-0.03372177854180336
0.2620253268676468,0.0,0.04865574836730957,0.0,-0.034228865057229996
0.26582279537297504,0.0,0.06674917042255402,0.0,-0.03470898047089577
0.26962026387830323,0.0,0.08359124511480331,0.0,-0.03515631705522537
0.27341773238363143,0.0,0.09897595643997192,0.0,-0.035565368831157684
0.2772152008889597,0.0,0.11271478235721588,0.0,-0.0359310507774353
0.2810126693942879,0.0,0.12463897466659546,0.0,-0.03624875470995903
0.2848101378996161,0.0,0.1346019208431244,0.0,-0.036514438688755035
0.2886076064049443,0.0,0.14248117804527283,0.0,-0.036724720150232315
0.2924050749102725,0.0,0.14817968010902405,0.0,-0.036876894533634186
0.29620254341560076,0.0,0.1516270935535431,0.0,-0.03696898743510246
0.30000001192092896,0.0,0.15278099477291107,0.0,-0.03699982166290283
0.0,0.012050025070769877,0.09014956653118134,0.0,0.02547796443104744
0.0037974685053282146,0.012050025070769877,0.09053657203912735,-0.0005484427674673498,0.02539169043302536
0.007594937010656429,0.012050025070769877,0.09168806672096252,-0.0010921244975179434,0.02513362281024456
0.011392405515984643,0.012050025070769877,0.0935760885477066,-0.0016263407887890935,0.024705998599529266
0.015189874021312859,0.012050025070769877,0.0961543470621109,-0.0021464985329657793,0.02411251701414585
0.018987342526641072,0.012050025070769877,0.0993591845035553,-0.002648170804604888,0.023358304053544998
0.022784811031969287,0.012050025070769877,0.10311056673526764,-0.003127148374915123,0.022449836134910583
0.026582279537297502,0.012050025070769877,0.10731333494186401,-0.0035794887226074934,0.02139488235116005
0.030379748042625717,0.012050025070769877,0.11185891926288605,-0.004001561552286148,0.02020239643752575
0.03417721654795393,0.012050025070769877,0.11662700027227402,-0.0043900893069803715,0.018882421776652336
0.037974685053282144,0.012050025070769877,0.12148760259151459,-0.0047421869821846485,0.017445974051952362
0.04177215355861036,0.012050025070769877,0.12630318105220795,-0.005055390298366547,0.015904901549220085
0.045569622063938574,0.012050025070769877,0.1309310793876648,-0.005327682942152023,0.014271770603954792
0.04936709056926679,0.012050025070769877,0.13522574305534363,-0.0055575198493897915,0.012559697963297367
0.053164559074595004,0.012050025070769877,0.13904136419296265,-0.005743834655731916,0.010782216675579548
0.05696202757992322,0.012050025070769877,0.14223434031009674,-0.0058860559947788715,0.008953118696808815
