sample_id,point_id,x,y,tx,ty,mask,w_pred,kappa_meas,kappa_pred,w_xx,w_xy,w_yy,w_true
5,240,0.2285285,0.95,1.0,0.0,1.0,-0.00017505862,1.101894e-07,-0.4497548,-0.4497548,-0.034979492,0.027904099,0.0001803398
5,241,0.2585586,0.95,0.9990588,-0.043376442,1.0,-0.00086343894,7.411905e-08,0.21236917,0.21021488,-0.028406983,0.046629913,0.0002493696
5,242,0.3,0.9468969,-0.22539398,-0.9742677,1.0,-0.0014136753,1.118906e-05,0.09310304,0.7479615,4.7321063e-09,0.058054045,0.0003484426
5,243,0.05045045,0.05045045,-0.2298343,-0.97322977,1.0,-0.0006410214,-1.780649e-05,0.006531977,0.13129675,-0.02303009,0.010451272,-0.02769854
5,244,0.1,0.1,0.70710677,0.70710677,1.0,-0.00026682072,-1.573473e-05,0.02299991,0.12870735,-0.03557156,-0.0115644,-0.0254744
5,245,0.1495495,0.1495495,0.70710677,0.70710677,1.0,0.0001976947,-1.461693e-05,-0.05222595,-0.076898865,-0.0068939747,-0.013765095,-0.0232813
5,246,0.2,0.2,0.70710677,0.70710677,1.0,0.00040344143,-1.503916e-05,-0.1188553,-0.25424135,0.007270337,0.001990046,-0.02107829
5,247,0.2495495,0.2495495,0.31965092,0.9475354,1.0,0.00010194033,-1.639173e-05,0.018631866,-0.028887834,0.0010489356,0.023332125,-0.01894463
5,248,0.2504505,0.3495495,-0.31281283,0.9498148,1.0,3.4294499e-06,-3.675169e-05,0.00968123,-0.061493564,0.020032901,0.03059654,-0.01484184
5,249,0.2,0.4,-0.70710677,0.70710677,1.0,2.0593405e-05,-3.843539e-05,-0.19740191,-0.30939174,0.05259707,0.019782001,-0.01291653
5,250,0.1504505,0.4495495,-0.70710677,0.70710677,1.0,-0.0007567569,-4.037244e-05,0.03290527,0.14725012,0.04845371,0.015467854,-0.01110179
5,251,0.1,0.5,-0.70710695,0.7071066,1.0,-0.0013738711,-4.284716e-05,0.2575431,0.52719593,0.011915246,0.011720478,-0.009335698
5,252,0.05045045,0.5495495,-0.31281313,0.9498147,1.0,-0.0009247506,-4.553675e-05,0.013645075,-0.012159191,-0.009698071,0.010056003,-0.00768611
5,253,0.05045045,0.6504505,0.31281313,0.9498147,1.0,-0.0010710745,-6.091494e-05,0.014167754,0.009438017,-0.0063129347,0.018838987,-0.004791205
5,254,0.1,0.7,0.70710695,0.7071066,1.0,-0.0016213425,-6.411657e-05,0.34521744,0.65419984,0.011206409,0.013821922,-0.003628066
5,255,0.1495495,0.7495495,0.70710677,0.70710677,1.0,-0.0007663065,-6.999359e-05,0.05245457,0.1139686,-0.005058039,0.0010566215,-0.002591329
5,256,0.2,0.8,0.70710677,0.70710677,1.0,0.0002823815,-7.960652e-05,-0.3859835,-0.62207955,-0.07168007,-0.006527352,-0.001677772
5,257,0.2504505,0.8504505,0.70710677,0.70710677,1.0,-0.0002784505,-9.102512e-05,-0.08721073,-0.03416284,-0.07644166,0.012624681,-0.0009264593
