x,y,w_true
0.0,0.0,-0.001207267981953919
0.0037974685053282146,0.0,-0.001207267981953919
0.007594937010656429,0.0,-0.001207267981953919
0.011392405515984643,0.0,-0.001207267981953919
0.015189874021312859,0.0,-0.001207267981953919
0.018987342526641072,0.0,-0.001207267981953919
0.022784811031969287,0.0,-0.001207267981953919
0.026582279537297502,0.0,-0.001207267981953919
0.030379748042625717,0.0,-0.001207267981953919
0.03417721654795393,0.0,-0.001207267981953919
0.037974685053282144,0.0,-0.001207267981953919
0.04177215355861036,0.0,-0.001207267981953919
0.045569622063938574,0.0,-0.000904951011762023
0.04936709056926679,0.0,-0.000904951011762023
0.053164559074595004,0.0,-0.000904951011762023
0.05696202757992322,0.0,-0.000904951011762023
0.060759496085251434,0.0,-0.000904951011762023
0.06455696459057965,0.0,-0.000904951011762023
0.06835443309590786,0.0,-0.000904951011762023
0.07215190160123608,0.0,-0.000904951011762023
0.07594937010656429,0.0,-0.0006027672789059579
0.07974683861189251,0.0,-0.0006027672789059579
0.08354430711722072,0.0,-0.0006027672789059579
0.08734177562254894,0.0,-0.0006027672789059579
0.09113924412787715,0.0,-0.0006027672789059579
0.09493671263320537,0.0,-0.0006027672789059579
0.09873418113853358,0.0,-0.0006027672789059579
0.1025316496438618,0.0,-0.0006027672789059579
0.10632911814919001,0.0,-0.00030065811006352305
0.11012658665451823,0.0,-0.00030065811006352305
0.11392405515984644,0.0,-0.00030065811006352305
0.11772152366517466,0.0,-0.00030065811006352305
0.12151899217050287,0.0,-0.00030065811006352305
0.12531646067583108,0.0,-0.00030065811006352305
0.1291139291811593,0.0,-0.00030065811006352305
0.13291139768648752,0.0,-0.00030065811006352305
0.13670886619181571,0.0,1.4198450344338198e-06
0.14050633469714394,0.0,1.4198450344338198e-06
0.14430380320247216,0.0,1.4198450344338198e-06
0.14810127170780038,0.0,1.4198450344338198e-06
0.15189874021312857,0.0,1.4198450344338198e-06
0.1556962087184568,0.0,1.4198450344338198e-06
0.15949367722378502,0.0,1.4198450344338198e-06
