sample_id,sample_name,point_id,w_pred,w_true,w_diff,w_abs_error,w_sq_error
0,merged_z_m0p002_dedup_filtered,0,-0.0107423709705472,-0.001447714283131063,-0.009294656687416136,0.009294656687416136,8.63906429369295e-05
0,merged_z_m0p002_dedup_filtered,1,-0.00916291307657957,-0.001375006278976798,-0.007787906797602773,0.007787906797602773,6.0651492288147475e-05
0,merged_z_m0p002_dedup_filtered,2,-0.006762438919395208,-0.0013246310409158468,-0.0054378078784793615,0.0054378078784793615,2.9569754523252215e-05
0,merged_z_m0p002_dedup_filtered,3,-0.01112975925207138,-0.0008837009663693607,-0.01024605828570202,0.01024605828570202,0.00010498171039400301
0,merged_z_m0p002_dedup_filtered,4,-0.006624627858400345,-0.0008428021101281047,-0.00578182574827224,0.00578182574827224,3.342950898338385e-05
0,merged_z_m0p002_dedup_filtered,5,-0.0038806123193353415,-0.001263270853087306,-0.0026173414662480354,0.0026173414662480354,6.850476350941416e-06
0,merged_z_m0p002_dedup_filtered,6,-0.0008862100075930357,-0.0012019394198432565,0.0003157294122502208,0.0003157294122502208,9.968506175986986e-08
0,merged_z_m0p002_dedup_filtered,7,-0.00200708769261837,-0.0008019231609068811,-0.001205164531711489,0.001205164531711489,1.4524215484953725e-06
0,merged_z_m0p002_dedup_filtered,8,0.002130300272256136,-0.0007610530010424554,0.0028913532732985914,0.0028913532732985914,8.359923751014479e-06
0,merged_z_m0p002_dedup_filtered,9,0.0018582886550575495,-0.0011406324338167906,0.00299892108887434,0.00299892108887434,8.993527697295257e-06
0,merged_z_m0p002_dedup_filtered,10,0.0040581608191132545,-0.0010793345281854272,0.005137495347298682,0.005137495347298682,2.6393858443515602e-05
0,merged_z_m0p002_dedup_filtered,11,0.005319361574947834,-0.0007201872649602592,0.006039548839908093,0.006039548839908093,3.647615018963519e-05
0,merged_z_m0p002_dedup_filtered,12,0.007285521365702152,-0.0006793235661461949,0.007964844931848347,0.007964844931848347,6.34387547883903e-05
0,merged_z_m0p002_dedup_filtered,13,0.005527622997760773,-0.0010180397657677531,0.006545662763528526,0.006545662763528526,4.28457010138439e-05
0,merged_z_m0p002_dedup_filtered,14,0.006209039129316807,-0.0009567463421262801,0.007165785471443087,0.007165785471443087,5.134848142274482e-05
0,merged_z_m0p002_dedup_filtered,15,0.007977264933288097,-0.000638460973277688,0.008615725906565785,0.008615725906565785,7.423073289706882e-05
0,merged_z_m0p002_dedup_filtered,16,0.007552138064056635,-0.0005975988460704684,0.008149736910127103,0.008149736910127103,6.641821170428807e-05
0,merged_z_m0p002_dedup_filtered,17,0.006786365527659655,-0.0006223798263818026,0.007408745354041457,0.007408745354041457,5.488950772103088e-05
0,merged_z_m0p002_dedup_filtered,18,0.00011618295684456825,-4.381816864906796e-08,0.00011622677501321732,0.00011622677501321732,1.3508663229973037e-08
0,merged_z_m0p002_dedup_filtered,19,0.0006215230096131563,-3.940547443903597e-08,0.0006215624150875954,0.0006215624150875954,3.8633983584952416e-07
0,merged_z_m0p002_dedup_filtered,20,0.0009169450495392084,-3.528859693346931e-08,0.0009169803381361419,0.0009169803381361419,8.408529405282731e-07
0,merged_z_m0p002_dedup_filtered,21,0.0010449683759361506,-3.133590809056841e-08,0.0010449997118442411,0.0010449997118442411,1.0920243977545469e-06
0,merged_z_m0p002_dedup_filtered,22,0.0010541987139731646,-2.7436634297828277e-08,0.0010542261506074624,0.0010542261506074624,1.111392776624628e-06
0,merged_z_m0p002_dedup_filtered,23,0.0009915088303387165,-2.3607100274603e-08,0.0009915324374389911,0.0009915324374389911,9.831365744937068e-07
0,merged_z_m0p002_dedup_filtered,24,0.0008965229499153793,-1.99208045614796e-08,0.0008965428707199408,0.0008965428707199408,8.037891190387525e-07
0,merged_z_m0p002_dedup_filtered,25,0.0007989061996340752,-1.6569588368042787e-08,0.0007989227692224432,0.0007989227692224432,6.382775911820573e-07
0,merged_z_m0p002_dedup_filtered,26,0.0007182681001722813,-1.3542215349104936e-08,0.0007182816423876304,0.0007182816423876304,5.159285177910717e-07
0,merged_z_m0p002_dedup_filtered,27,0.0006658951751887798,-1.0667145389220423e-08,0.000665905842334169,0.000665905842334169,4.434305908547792e-07
0,merged_z_m0p002_dedup_filtered,28,0.0006472049281001091,-7.969680915209665e-09,0.0006472128977810243,0.0006472128977810243,4.188845350541106e-07
0,merged_z_m0p002_dedup_filtered,29,0.0052635204046964645,9.47217849898152e-05,0.005168798619706649,0.005168798619706649,2.6716479171081363e-05
0,merged_z_m0p002_dedup_filtered,30,0.01330343447625637,0.00021143874619156122,0.01309199573006481,0.01309199573006481,0.00017140035219603519
0,merged_z_m0p002_dedup_filtered,31,0.012378966435790062,0.00025207229191437364,0.012126894143875688,0.012126894143875688,0.00014706156157676646
0,merged_z_m0p002_dedup_filtered,32,0.016034414991736412,0.00037894511478953063,0.01565546987694688,0.01565546987694688,0.0002450937370679912
0,merged_z_m0p002_dedup_filtered,33,0.012985173612833023,-4.058691411046311e-05,0.013025760526943486,0.013025760526943486,0.00016967043730527906
0,merged_z_m0p002_dedup_filtered,34,0.01063845120370388,0.0004891888820566237,0.010149262321647257,0.010149262321647257,0.00010300752567360866
0,merged_z_m0p002_dedup_filtered,35,0.008436709642410278,0.0003336321096867323,0.008103077532723546,0.008103077532723546,6.565986550132911e-05
0,merged_z_m0p002_dedup_filtered,36,0.005886133760213852,0.00037446481292136014,0.005511668947292492,0.005511668947292492,3.0378494584548324e-05
0,merged_z_m0p002_dedup_filtered,37,0.0033200373873114586,0.0004153090703766793,0.0029047283169347793,0.0029047283169347793,8.437446595202755e-06
0,merged_z_m0p002_dedup_filtered,38,0.0030721123330295086,0.0006241575465537608,0.002447954786475748,0.002447954786475748,5.992482636629524e-06
0,merged_z_m0p002_dedup_filtered,39,0.0010009771212935448,0.0004561584210023284,0.0005448187002912164,0.0005448187002912164,2.9682741618701025e-07
0,merged_z_m0p002_dedup_filtered,40,-0.0008636577986180782,0.0004970102454535663,-0.0013606680440716445,0.0013606680440716445,1.8514175261577548e-06
0,merged_z_m0p002_dedup_filtered,41,-0.002145031001418829,0.0005378634086810052,-0.002682894410099834,0.002682894410099834,7.197922415744937e-06
0,merged_z_m0p002_dedup_filtered,42,-0.0028019119054079056,0.0005787170375697315,-0.003380628942977637,0.003380628942977637,1.1428652050098096e-05
0,merged_z_m0p002_dedup_filtered,43,-0.002874994184821844,0.0006195716559886932,-0.0034945658408105373,0.0034945658408105373,1.2211990415759858e-05
0,merged_z_m0p002_dedup_filtered,44,-0.0024690127465873957,0.0006604263326153159,-0.0031294390792027116,0.0031294390792027116,9.793388950441115e-06
0,merged_z_m0p002_dedup_filtered,45,-0.0017271761316806078,0.0007012812420725822,-0.00242845737375319,0.00242845737375319,5.897405216136241e-06
0,merged_z_m0p002_dedup_filtered,46,-0.0008035550708882511,0.0007421369664371014,-0.0015456920373253524,0.0015456920373253524,2.3891638742509987e-06
0,merged_z_m0p002_dedup_filtered,47,0.00016113411402329803,0.0007829946698620915,-0.0006218605558387935,0.0006218605558387935,3.8671055090813323e-07
0,merged_z_m0p002_dedup_filtered,48,0.0010562012903392315,0.0008238583686761558,0.00023234292166307569,0.00023234292166307569,5.3983233246934125e-08
0,merged_z_m0p002_dedup_filtered,49,0.0018080451991409063,0.0008647360373288393,0.000943309161812067,0.000943309161812067,8.898321747585845e-07
0,merged_z_m0p002_dedup_filtered,50,0.0023779142647981644,0.0009056436247192323,0.001472270640078932,0.001472270640078932,2.1675808376384283e-06
0,merged_z_m0p002_dedup_filtered,51,0.0027528107166290283,0.0009466128540225327,0.0018061978626064956,0.0018061978626064956,3.2623507188842732e-06
0,merged_z_m0p002_dedup_filtered,52,0.0029333666898310184,0.0009877001866698265,0.001945666503161192,0.001945666503161192,3.7856181415235005e-06
0,merged_z_m0p002_dedup_filtered,53,-0.0023569215554744005,0.0014846447156742215,-0.003841566271148622,0.003841566271148622,1.4757631415626728e-05
0,merged_z_m0p002_dedup_filtered,54,-0.0010883298236876726,0.0013856397708877921,-0.0024739695945754647,0.0024739695945754647,6.120525554883889e-06
0,merged_z_m0p002_dedup_filtered,55,0.0028123788069933653,0.00046105115325190127,0.002351327653741464,0.002351327653741464,5.528741735249338e-06
0,merged_z_m0p002_dedup_filtered,56,0.004171925596892834,0.0004815375432372093,0.0036903880536556244,0.0036903880536556244,1.3618963986564148e-05
0,merged_z_m0p002_dedup_filtered,57,0.004678243771195412,0.0005020664539188147,0.004176177317276597,0.004176177317276597,1.7440456985335555e-05
0,merged_z_m0p002_dedup_filtered,58,-0.010000258684158325,-8.765365322460639e-08,-0.0100001710305051,0.0100001710305051,0.00010000342063935345
0,merged_z_m0p002_dedup_filtered,59,-0.009582003578543663,-8.278884422452393e-08,-0.009581920789699439,0.009581920789699439,9.181320602007432e-05
0,merged_z_m0p002_dedup_filtered,60,-0.008771276101469994,-7.802069035278691e-08,-0.00877119808077964,0.00877119808077964,7.693391577227246e-05
0,merged_z_m0p002_dedup_filtered,61,-0.00764623424038291,-7.334247698054241e-08,-0.007646160897905929,0.007646160897905929,5.8463776476665604e-05
0,merged_z_m0p002_dedup_filtered,62,-0.006311236415058374,-6.88823433847574e-08,-0.00631116753271499,0.00631116753271499,3.983083562599581e-05
0,merged_z_m0p002_dedup_filtered,63,-0.004882909823209047,-6.451631406889646e-08,-0.004882845306894978,0.004882845306894978,2.3842178291066315e-05
0,merged_z_m0p002_dedup_filtered,64,-0.003475333796814084,-6.008493613762766e-08,-0.0034752737118779464,0.0034752737118779464,1.207752737246992e-05
