epoch,train_boundary_error,train_loss,train_loss_hf,train_loss_kappa,train_loss_w,train_rmse_kappa,train_rmse_w,val_boundary_error,val_loss,val_loss_hf,val_loss_kappa,val_loss_w,val_rmse_kappa,val_rmse_w
1.0,nan,18.591720217750186,0.09311777335547265,18.587320373171853,0.0034677250133383843,27.11274546668643,0.0829645377539453,nan,10.670585359845843,0.046663396060466766,10.667912210736956,0.0022067800940324864,16.134790420532227,0.06643408678826832
2.0,nan,8.22579154514131,0.03711168530086676,8.223538330623082,0.0018820760084227437,12.503979342324394,0.06117399941597666,nan,3.5471398489815846,0.02265401929616928,3.545693556467692,0.0012197675504943444,5.381661415100098,0.04938944375940731
3.0,nan,3.808612210409982,0.02173276041590032,3.8073113078162786,0.001083541655957344,5.826584906805129,0.046486900675864445,nan,4.80553860891433,0.019851697608828545,4.804525625138056,0.0008146275012266068,7.435537224724179,0.0403621932935147
4.0,nan,4.947241987500872,0.01881598379640352,4.946310656411307,0.0007432193933276548,7.5798591659182595,0.03851708574664025,nan,4.2355930010477705,0.015355134382843971,4.234845161437988,0.0005944163837869253,7.027460279918852,0.03447915666869709
5.0,nan,3.7052181221189953,0.013742565310427121,3.704524358113607,0.0005564574551369463,6.3810373942057295,0.03334380189577738,nan,2.1935938653491793,0.00976274348795414,2.193020604905628,0.0004757112959244599,4.13460636138916,0.030844824920807565
6.0,nan,1.9184955244972592,0.00846521844643922,1.9179629711877733,0.00044791514491884126,3.49723295938401,0.029920718499592373,nan,1.6395262706847418,0.005728177726268768,1.6390946479070754,0.00037428374829081196,2.9660118307386125,0.0273580795952252
7.0,nan,1.852872576032366,0.005152908841236716,1.8524868828909737,0.00033412053571304395,3.3708273683275496,0.0258147336010422,nan,1.8961481026240758,0.003900812938809395,1.8958806310381209,0.0002284792786841059,3.6368911606924876,0.021375106558913275
8.0,nan,1.5626450720287504,0.00314079651919504,1.5624170416877383,0.00019667098032576696,3.003319274811518,0.019792482611678895,nan,0.7907846484865461,0.0014302534982562065,0.7906090446880886,0.00016128654949300523,1.5555826198487055,0.01795894084941773
9.0,nan,0.9037040982927594,0.0014624166402167507,0.9035038777760097,0.00018558584131477844,1.8607639698755174,0.01922472921155748,nan,1.1570567800885154,0.0021120570600032806,1.1567832345054263,0.00025245017882081724,2.3673184712727866,0.02246426684515817
10.0,nan,1.0564832148097811,0.002402040298052487,1.056205894265856,0.0002532846999764886,2.2152077697572254,0.022503196927053586,nan,0.8227114677429199,0.002481405157595873,0.8224769291423616,0.0002097390374512456,1.7329301550274803,0.02047226977135454
11.0,nan,0.6917849665596372,0.0020428143131236234,0.691588302453359,0.00017624377228674435,1.5373410213561285,0.018705208830180623,nan,0.5133160863603864,0.0010830521350726485,0.5132073022070385,9.793097740926204e-05,1.3295552276429676,0.013983528706289473
12.0,nan,0.5595317823546273,0.0010267429558249812,0.5594417566344851,7.973749961820431e-05,1.3444676910127913,0.012565406571541513,nan,0.36964200082279386,0.0007105338154360652,0.3695871347472781,4.777191220671826e-05,1.0206841003327143,0.009765000792131537
13.0,nan,0.3645617819967724,0.0005222803987895272,0.3645114430359432,4.5116967764139794e-05,1.012895601136344,0.009490278017308031,nan,0.3457980326243809,0.00046034794650040567,0.3457395718211219,5.387166086057689e-05,0.926340000970023,0.010377687135977405
14.0,nan,0.35686814926919486,0.00046341661142096634,0.3568078577518463,5.5663227179874886e-05,0.9505778494335356,0.010549705697312242,nan,0.0927921590350923,0.0003055125707760453,0.09273543031442733,5.367600273789971e-05,0.4321601617903936,0.01036074837403638
15.0,nan,0.20406335024606614,0.000364972547339719,0.20400758016677129,5.212387657679972e-05,0.662374082065764,0.010206926037513074,nan,0.28788000912893386,0.0004022775683552027,0.2878338879063016,4.2102999161995414e-05,0.819498808611007,0.009175914783208143
16.0,nan,0.20554413965770177,0.0003030548278253437,0.20550761833077386,3.348544418085588e-05,0.6701478816214061,0.008163557055273227,nan,0.1904418801977521,0.00020558102170027616,0.1904208773658389,1.8946302848884704e-05,0.677777057602292,0.006153923814140615
17.0,nan,0.1956920978568849,0.00016837563799483525,0.19567346572875977,1.694283591426765e-05,0.6690499527113778,0.005797827217195716,nan,0.09521146615346272,9.40411991905421e-05,0.09519798840795245,1.2537237039179586e-05,0.4458987358070555,0.004992135844769932
18.0,nan,0.14427515793414342,0.0001192025658729974,0.14426088971751078,1.3073968581184523e-05,0.5507230787050157,0.005100991843002183,nan,0.23096015410763876,0.00013893167488276958,0.23094432410739718,1.4446527486489641e-05,0.7706876595815023,0.005340850490721918
19.0,nan,0.16292770277886165,0.00010779999450148483,0.1629120232093902,1.4599622816257623e-05,0.603344372340611,0.005401311508779015,nan,0.2850556955451057,0.00016770872753113508,0.2850361367066701,1.789803458710334e-05,0.8794592959540231,0.005939129363035872
20.0,nan,0.2196268510250818,0.00014422727759838815,0.2196063037429537,1.9112945145544863e-05,0.7162084324019296,0.006154797904725585,nan,0.16426061874344236,0.0001254594390047714,0.16424086406117394,1.8500778813696733e-05,0.6220156919388544,0.006033263058357295
21.0,nan,0.15896765107200259,0.00010812101390911266,0.15895015923749833,1.6410042441012117e-05,0.6099807719389597,0.005708244584855579,nan,0.12319651139633996,4.096361226402223e-05,0.12318604865244456,1.0052589935921355e-05,0.5200664230755397,0.004394785434539829
22.0,nan,0.1448613940959885,5.004132877469861e-05,0.14485169627836772,9.20210597888356e-06,0.5662757101513091,0.0042446746956557035,nan,0.07511166234811147,3.478804587974169e-05,0.07510368916250411,7.621710253823992e-06,0.3886510786556062,0.0038397592448052905
23.0,nan,0.06954619820628848,3.4084699499154727e-05,0.06953792238519305,7.933273211944783e-06,0.3784173443203881,0.0039728026437972274,nan,0.14376365641752878,4.641799421820213e-05,0.14375445672443934,8.742164373827455e-06,0.5632417968341282,0.004145167856698944
24.0,nan,0.11390858179046995,3.7651959982689556e-05,0.11389970140797752,8.503682065132861e-06,0.49205498752139865,0.0040773715646494,nan,0.12684596010616847,5.3834993152468956e-05,0.12683701444239842,8.406301579573968e-06,0.5242923327854702,0.0040568494504051545
25.0,nan,0.12073573274981408,4.5068125646572475e-05,0.12072694461260523,8.335488733532007e-06,0.49619644454547335,0.0040660874940277566,nan,0.17882131465843745,4.121622987440787e-05,0.1788124449196316,8.452316814371097e-06,0.6198606150490897,0.00406917929649353
26.0,nan,0.14866553779159272,3.7696498717802264e-05,0.14865668313134284,8.472574639502758e-06,0.5531592340696425,0.004089440174755596,nan,0.06354004818768728,2.4378523448831402e-05,0.06353152756180082,8.274556074909578e-06,0.3570064107577006,0.004029731554467054
27.0,nan,0.08299009076186589,2.3033638648311828e-05,0.08298190115463167,7.959608930312762e-06,0.4033171208131881,0.003890848807280972,nan,0.15684352815151215,2.973943810502533e-05,0.15683590372403464,7.328685352972354e-06,0.5917094264711652,0.0037641674501910096
28.0,nan,0.12495090555222262,2.256256246775073e-05,0.12494330196863129,7.3782147237146824e-06,0.5071339323407128,0.003796760624806796,nan,0.16514257944765545,1.5105278180271853e-05,0.16513499049913316,7.43728127244616e-06,0.5939023012206668,0.0037717068612220742
29.0,nan,0.15891961256663004,1.78588053088225e-05,0.15891172630446299,7.71286423038137e-06,0.5585506047521319,0.003916414177400016,nan,0.3118712902069092,4.471374268177897e-05,0.3118621309598287,8.714790835386208e-06,0.8854370628084455,0.004095384252390691
