epoch,train_boundary_error,train_loss,train_loss_hf,train_loss_kappa,train_loss_w,train_raw_loss_hf,train_raw_loss_kappa,train_raw_loss_w,train_rmse_kappa,train_rmse_w,train_weighted_loss_hf,train_weighted_loss_kappa,train_weighted_loss_w,val_boundary_error,val_loss,val_loss_hf,val_loss_kappa,val_loss_w,val_raw_loss_hf,val_raw_loss_kappa,val_raw_loss_w,val_rmse_kappa,val_rmse_w,val_weighted_loss_hf,val_weighted_loss_kappa,val_weighted_loss_w
1.0,nan,0.003159147842476765,0.09215742260927245,19.26138714381627,0.003159147842476765,0.09215742260927245,19.26138714381627,0.003159147842476765,28.01420729500907,0.07869840271416165,0.0,0.0,0.003159147842476765,nan,0.0012267808086194453,0.03941876441240311,12.702040672302246,0.0012267808086194453,0.03941876441240311,12.702040672302246,0.0012267808086194453,18.564884639921644,0.049532766320875714,0.0,0.0,0.0012267808086194453
2.0,nan,0.0008267959097533353,0.028028507406512897,10.565934816996256,0.0008267959097533353,0.028028507406512897,10.565934816996256,0.0008267959097533353,15.418122473217192,0.03975899703800678,0.0,0.0,0.0008267959097533353,nan,0.00020825684519617686,0.00925852544605732,5.693380355834961,0.00020825684519617686,0.00925852544605732,5.693380355834961,0.00020825684519617686,8.638767969040643,0.02039925124318827,0.0,0.0,0.00020825684519617686
3.0,nan,0.0001772834712894456,0.007619710173457861,4.451971031370617,0.0001772834712894456,0.007619710173457861,4.451971031370617,0.0001772834712894456,7.3029278346470425,0.018789746399436678,0.0,0.0,0.0001772834712894456,nan,0.00021908883493216265,0.006936313473575172,3.9269607180640813,0.00021908883493216265,0.006936313473575172,3.9269607180640813,0.00021908883493216265,6.222433703286307,0.02093092990773065,0.0,0.0,0.00021908883493216265
4.0,nan,0.0002717860597407534,0.007700878328510693,4.365983508882069,0.0002717860597407534,0.007700878328510693,4.365983508882069,0.0002717860597407534,6.92382676260812,0.023239071525278546,0.0,0.0,0.0002717860597407534,nan,0.00037985464691051414,0.009120033344342596,5.1658116068158835,0.00037985464691051414,0.009120033344342596,5.1658116068158835,0.00037985464691051414,8.466933977036248,0.027562536831412996,0.0,0.0,0.00037985464691051414
5.0,nan,0.0003878591953599382,0.009125927374476478,5.279743035634358,0.0003878591953599382,0.009125927374476478,5.279743035634358,0.0003878591953599382,8.567263830275763,0.027850776378597532,0.0,0.0,0.0003878591953599382,nan,0.00035463824280582016,0.008692143706693536,5.452603181203206,0.00035463824280582016,0.008692143706693536,5.452603181203206,0.00035463824280582016,8.313630467369443,0.026630688902168048,0.0,0.0,0.00035463824280582016
6.0,nan,0.0003132993962416159,0.008284428977363166,5.324234349387033,0.0003132993962416159,0.008284428977363166,5.324234349387033,0.0003132993962416159,8.028761818295433,0.02499179391279107,0.0,0.0,0.0003132993962416159,nan,0.00020033737971624803,0.006977647542953491,4.773019200279599,0.00020033737971624803,0.006977647542953491,4.773019200279599,0.00020033737971624803,7.225574675060454,0.02001484093211946,0.0,0.0,0.00020033737971624803
7.0,nan,0.0001596922624490357,0.006270385169911952,4.4392756053379605,0.0001596922624490357,0.006270385169911952,4.4392756053379605,0.0001596922624490357,6.856669698442731,0.017767598275982198,0.0,0.0,0.0001596922624490357,nan,8.028254212279405e-05,0.004523077048361301,3.504536571956816,8.028254212279405e-05,0.004523077048361301,3.504536571956816,8.028254212279405e-05,5.987785634540376,0.012671235771406265,0.0,0.0,8.028254212279405e-05
8.0,nan,6.74008912201749e-05,0.003968622080893034,3.1234989166259766,6.74008912201749e-05,0.003968622080893034,3.1234989166259766,6.74008912201749e-05,5.650195871080671,0.011584298729541757,0.0,0.0,6.74008912201749e-05,nan,5.481971068851029e-05,0.0028359158895909786,2.4845340933118547,5.481971068851029e-05,0.0028359158895909786,2.4845340933118547,5.481971068851029e-05,4.694921720595587,0.010460504685484227,0.0,0.0,5.481971068851029e-05
9.0,nan,5.916800659005752e-05,0.0025338316668889354,2.3542422907693044,5.916800659005752e-05,0.0025338316668889354,2.3542422907693044,5.916800659005752e-05,4.282893827983311,0.01086686085909605,0.0,0.0,5.916800659005752e-05,nan,7.013907244462254e-05,0.0018804899716217602,2.000428563072568,7.013907244462254e-05,0.0018804899716217602,2.000428563072568,7.013907244462254e-05,3.421687852768671,0.011825932411565668,0.0,0.0,7.013907244462254e-05
10.0,nan,7.065643287552077e-05,0.0016824045617665564,1.819047252337138,7.065643287552077e-05,0.0016824045617665564,1.819047252337138,7.065643287552077e-05,3.214908316021874,0.01188368226091067,0.0,0.0,7.065643287552077e-05,nan,6.51602119129772e-05,0.001312075443344102,1.4261102846690588,6.51602119129772e-05,0.001312075443344102,1.4261102846690588,6.51602119129772e-05,2.8302163623628163,0.011396533100023157,0.0,0.0,6.51602119129772e-05
