sample_id,dataset_index,selection_method,num_points,num_valid,w_available,collapse_flag,a_pred_norm,w_pred_std,kappa_pred_std,sensitivity_a_diff,kappa_corr,kappa_rmse,kappa_scale_ratio_std,kappa_scale_ratio_max,kappa_consistency_corr,kappa_consistency_rmse,kappa_consistency_scale_ratio_std,kappa_consistency_scale_ratio_max,kappa_consistency_fit_s,kappa_consistency_fit_b,w_raw_rmse,w_aligned_mean_rmse,w_aligned_plane_rmse,w_aligned_plane_ratio,plane_a,plane_b,plane_c,w_true_std,baseline_target,baseline_rmse,baseline_init_mse,baseline_final_mse,baseline_w_only_w_rmse,baseline_w_only_kappa_rmse,baseline_w_only_corr_kappa,baseline_kappa_only_kappa_rmse,baseline_kappa_only_w_rmse,baseline_kappa_only_w_aligned_plane_rmse,baseline_both_w_rmse,baseline_both_kappa_rmse,model_w_rmse,model_kappa_rmse,model_corr_kappa,case_label
24,24,topk_w_rmse,128,128,True,True,0.011353427544236183,0.006326496515282983,1.0729980524486566,0.00013738498091697693,0.05741373055725667,1.0765828473817236,128.12944883191028,94.97033566071521,-0.23670515240141984,0.2780452774938388,0.030388577702885295,0.044689499337224395,-0.007193132916449955,-0.001486263243368016,0.007126351833529714,0.007112066491373009,0.006220711895901349,0.872916751967353,-0.008478872804357841,-0.011670707219501348,0.00653506273618719,0.002912275808989667,,,,,0.002670674864132608,0.27804527749383867,-0.2367051524014198,0.008486198545636106,0.0029464044900339766,0.002899205042867044,0.0029138413782057544,0.00803288077626886,0.007126351833529714,1.0765828473817236,0.05741373055725667,CASE_UNIDENTIFIABLE
23,23,topk_w_rmse,128,128,True,True,0.01134992390871048,0.006323808934107343,1.0729740510045398,0.0001305127516388893,0.05724466755664682,1.076580650695725,133.26609101160363,98.92686276079621,-0.23610221241041418,0.2658798495759833,0.030551719867869837,0.04478926401668974,-0.0072133286537746505,-0.0014218168617007938,0.007068629138920731,0.007055219231566506,0.006157534430919844,0.871107298162767,-0.008360383298843248,-0.011666837054738725,0.006532169328818169,0.002800610747375128,,,,,0.0025663587641775536,0.2658798495759833,-0.23610221241041424,0.008158305379411876,0.002833631971000247,0.002786053156671768,0.0028021110390896425,0.007723241333067503,0.007068629138920731,1.076580650695725,0.05724466755664682,CASE_UNIDENTIFIABLE
22,22,topk_w_rmse,128,128,True,True,0.011346423998475075,0.006321123994521614,1.0729500060599533,0.000123640988022089,0.05706062755896604,1.0765784790263624,138.8230864726011,103.22742915449176,-0.2353998973686483,0.25372667078757005,0.0307310302100606,0.04489820984491909,-0.007234081357509861,-0.001357333269753084,0.007012329132564602,0.006999775953543247,0.006095822981806302,0.8693007510868064,-0.008241895990664444,-0.011662968128707717,0.00652927721814823,0.002689162754830325,,,,,0.0024620471929154932,0.25372667078757,-0.23539989736864833,0.007830905936224165,0.0027210746329664626,0.0026729350882962817,0.0026905939742787295,0.007413992511336427,0.007012329132564602,1.0765784790263624,0.05706062755896604,CASE_UNIDENTIFIABLE
21,21,topk_w_rmse,128,128,True,True,0.011342929676175117,0.006318442911915038,1.0729258309658678,0.0001167692244052887,0.05685924842159271,1.0765762643148369,144.85294763838286,107.91891345877998,-0.23457793237157532,0.24158757067463765,0.03092896048933627,0.045017665319489364,-0.007255251602020943,-0.0012928087360607743,0.006957487093593828,0.006945771223983546,0.006035624057492636,0.8675005754663914,-0.008123411057224807,-0.011659100099936157,0.00652638920222329,0.002577959784682629,,,,,0.0023577405645020884,0.24158757067463746,-0.23457793237157532,0.007504063916822805,0.002608760127932431,0.0025598551185903873,0.002579317648097991,0.0071051843675698405,0.006957487093593828,1.0765762643148369,0.05685924842159271,CASE_UNIDENTIFIABLE
20,20,topk_w_rmse,128,128,True,True,0.011339438147842884,0.006315764943871522,1.0729016026511995,0.00010989699512720108,0.05663745220296935,1.0765740915422042,151.41698014067376,113.0572448331824,-0.2336108677335662,0.2294647135367187,0.03114849580665392,0.04514922982474912,-0.007276627134019753,-0.0012282402166585058,0.006904137338309571,0.006893237586990636,0.0059769825932602895,0.8657102691302649,-0.008004918037800082,-0.011655230254264373,0.006523495277325213,0.002467034504418,,,,,0.002253439129121403,0.22946471353671863,-0.2336108677335662,0.007177859185396206,0.0024967207535104255,0.0024468180552683644,0.0024683141616199523,0.006796880506743492,0.006904137338309571,1.0765740915422042,0.05663745220296935,CASE_UNIDENTIFIABLE
19,19,topk_w_rmse,128,128,True,True,0.011335949413478374,0.00631308882502825,1.0728778072991962,0.00010302523151040077,0.05639181088771534,1.0765724119810436,158.58745195500134,118.70944199340896,-0.23246621248920704,0.21736094919850849,0.03139320159881241,0.04529484323974542,-0.007297858673619906,-0.0011636224944621158,0.006852313554923639,0.006842208616333711,0.0059199433227367735,0.8639335131538277,-0.007886430408709583,-0.011651361300430863,0.006520603006032812,0.002356426962099039,,,,,0.002149144422541182,0.21736094919850837,-0.232466212489207,0.006852377747733076,0.0023849961295865133,0.002333830978795026,0.002357622871725796,0.006489148092398785,0.006852313554923639,1.0765724119810436,0.05639181088771534,CASE_UNIDENTIFIABLE
18,18,topk_w_rmse,128,128,True,True,0.011332467198371887,0.006310416628482982,1.0728538133657226,9.615346789360046e-05,0.05611778859098224,1.0765706247114628,166.44940883728012,124.95656688904795,-0.23110262628958697,0.20527956896382452,0.03166751854281986,0.045456879448755254,-0.007318446703355822,-0.0010989522079910053,0.006802052464481286,0.006792719691303694,0.005864555362521553,0.8621743794457449,-0.007767939901999559,-0.011647492514467863,0.006517710195942713,0.0022461836611945,,,,,0.00204485706615003,0.20527956896382452,-0.231102626289587,0.006527731186758641,0.0022736322128006545,0.002220901076681557,0.002247289485046153,0.006182075636820902,0.006802052464481286,1.0765706247114628,0.05611778859098224,CASE_UNIDENTIFIABLE
17,17,topk_w_rmse,128,128,True,True,0.011328985914587975,0.006307746767255565,1.0728298093511228,8.928123861551285e-05,0.05580981968753069,1.0765689095466118,175.10418951384867,131.89781709410377,-0.22946633533470792,0.19322481967458313,0.031976895923060876,0.04563828708565493,-0.007337621122882437,-0.001034224858894863,0.0067533875723456,0.006744803353122139,0.005810864475958927,0.8604369901342247,-0.007649449641908206,-0.011643622911306047,0.006514817011548684,0.0021363612716290953,,,,,0.0019405785102747934,0.19322481967458313,-0.229466335334708,0.006204048082547372,0.002162685011948563,0.0021080378251802073,0.0021373697023471068,0.005875764335866308,0.0067533875723456,1.0765689095466118,0.05580981968753069,CASE_UNIDENTIFIABLE
16,16,topk_w_rmse,128,128,True,True,0.011325507424771786,0.006305079477541347,1.0728058318498832,8.240947499871254e-05,0.055461029305244894,1.0765673013911798,184.67281814785602,139.65570722333587,-0.22748710307932093,0.18120198107994254,0.032328178767926936,0.045842752075285834,-0.007354243735787038,-0.0009694377523831426,0.006706353614195435,0.006698493430872094,0.005758917736757442,0.8587256306567936,-0.007530960205753028,-0.01163975435732694,0.006511924402991342,0.002027027848555684,,,,,0.0018363099112033775,0.18120198107994254,-0.22748710307932088,0.005881489367324271,0.002052221749591806,0.0019952521619115097,0.00202793042703433,0.005570341376354996,0.006706353614195435,1.0765673013911798,0.055461029305244894,CASE_UNIDENTIFIABLE
15,15,topk_w_rmse,128,128,True,True,0.01132203172892332,0.006302414513517806,1.0727817560823507,7.553398609161377e-05,0.055062598426011154,1.0765656728512212,195.30089598913537,148.38333493057294,-0.22507143637496627,0.16921785371604603,0.03272999152783928,0.046074979891193364,-0.0073665862057551565,-0.00090458934581878,0.0066609850407596295,0.006653823522736989,0.005708764641184071,0.8570451076306627,-0.007412471998771636,-0.011635875826909494,0.006509030737479675,0.001918267124984322,,,,,0.0017320531874782145,0.16921785371604597,-0.22507143637496627,0.005560250261171995,0.0019423251189148536,0.0018825581632167234,0.0019190539892732525,0.00526596098170341,0.0066609850407596295,1.0765656728512212,0.055062598426011154,CASE_UNIDENTIFIABLE
