epoch,train_boundary_error,train_loss,train_loss_hf,train_loss_kappa,train_loss_w,train_raw_loss_hf,train_raw_loss_kappa,train_raw_loss_w,train_rmse_kappa,train_rmse_w,train_weighted_loss_hf,train_weighted_loss_kappa,train_weighted_loss_w,val_boundary_error,val_loss,val_loss_hf,val_loss_kappa,val_loss_w,val_raw_loss_hf,val_raw_loss_kappa,val_raw_loss_w,val_rmse_kappa,val_rmse_w,val_weighted_loss_hf,val_weighted_loss_kappa,val_weighted_loss_w
1.0,nan,1338.996058872768,0.09311560239820253,1527350.2797619049,17.05734884171259,0.09311560239820253,1527350.2797619049,17.05734884171259,27.113664445422945,0.08300066668362845,0.0,1321.938685825893,17.05734884171259,nan,1796.4932163783483,0.04648987647323381,891857.244047619,12.778617223103842,0.04648987647323381,891857.244047619,12.778617223103842,16.110839752923873,0.06673033180690947,0.0,1783.7146170479912,12.778617223103842
2.0,nan,1627.1316441127233,0.036562176066495124,693720.7291666666,11.522638911292667,0.036562176066495124,693720.7291666666,11.522638911292667,12.461991718837194,0.06142580739799,0.0,1615.6090087890625,11.522638911292667,nan,1128.7393682570685,0.02157346576097466,319737.5654761905,9.657840864998954,0.02157346576097466,319737.5654761905,9.657840864998954,5.3600648244222,0.049904917854638325,0.0,1119.081519717262,9.657840864998954
3.0,nan,1359.7912132626489,0.02072104031131381,341339.6964285714,9.558293796720958,0.02072104031131381,341339.6964285714,9.558293796720958,5.821268581208729,0.04735670167775381,0.0,1350.23291015625,9.558293796720958,nan,2102.511009579613,0.01911416303898607,418719.7723214286,8.912209510803223,0.01911416303898607,418719.7723214286,8.912209510803223,7.396937347593761,0.041891071058454965,0.0,2093.5987955729165,8.912209510803223
4.0,nan,2360.4899553571427,0.018187789956019038,432864.77976190473,8.234288215637207,0.018187789956019038,432864.77976190473,8.234288215637207,7.529449848901658,0.039804509530464806,0.0,2352.255661737351,8.234288215637207,nan,2476.383498418899,0.01499151052641017,379999.57886904763,6.3861924807230634,0.01499151052641017,379999.57886904763,6.3861924807230634,6.911841664995466,0.034448832273483276,0.0,2469.9973260788693,6.3861924807230634
5.0,nan,2263.9357328869046,0.013388812054126035,328394.3541666667,5.861003421601795,0.013388812054126035,328394.3541666667,5.861003421601795,6.241889976319813,0.03244538543124994,0.0,2258.074689592634,5.861003421601795,nan,1619.9517299107142,0.00917831746240457,201889.91517857142,4.832340853554862,0.00917831746240457,201889.91517857142,4.832340853554862,4.006232216244652,0.02770309735621725,0.0,1615.119408017113,4.832340853554862
6.0,nan,1522.2040259951636,0.007615762762725353,180809.24479166666,4.552386124928792,0.007615762762725353,180809.24479166666,4.552386124928792,3.3891826016562328,0.02602716934468065,0.0,1517.6516403924852,4.552386124928792,nan,1500.5294770740327,0.004632950405634585,157515.00595238095,4.137010846819196,0.004632950405634585,157515.00595238095,4.137010846819196,2.9278663907732283,0.02305108778888271,0.0,1496.3925083705358,4.137010846819196
7.0,nan,1745.058814639137,0.00430698726060135,174837.5974702381,4.227311202457973,0.00430698726060135,174837.5974702381,4.227311202457973,3.3511912936256048,0.022691311758188976,0.0,1740.8314790271577,4.227311202457973,nan,1988.301234654018,0.0034946194362072717,180361.49702380953,4.324751263573056,0.0034946194362072717,180361.49702380953,4.324751263573056,3.6220199040004184,0.02219624524669988,0.0,1983.9764869326636,4.324751263573056
8.0,nan,1742.3480166480654,0.0027704234567603897,152934.46279761905,4.40950870513916,0.0027704234567603897,152934.46279761905,4.40950870513916,2.9544986372902278,0.022451638465835935,0.0,1737.9385230654761,4.40950870513916,nan,1098.1040620349702,0.0013239069265269098,87457.26004464286,4.888306072780064,0.0013239069265269098,87457.26004464286,4.888306072780064,1.4832610459554763,0.024032722803808394,0.0,1093.2157447451636,4.888306072780064
9.0,nan,1249.9758707682292,0.0014655767008662224,96017.28943452382,5.103935037340436,0.0014655767008662224,96017.28943452382,5.103935037340436,1.7579341956547327,0.02496313995548657,0.0,1244.8719133649554,5.103935037340436,nan,1541.8622872488838,0.0021226407317001196,109758.12425595238,5.248511972881499,0.0021226407317001196,109758.12425595238,5.248511972881499,2.1939363933744884,0.026204696545998257,0.0,1536.613781156994,5.248511972881499
10.0,nan,1519.2735595703125,0.00211315707392281,105089.24590773809,4.9589153698512485,0.00211315707392281,105089.24590773809,4.9589153698512485,2.085363206409273,0.02539654475237642,0.0,1514.3146391369048,4.9589153698512485,nan,1457.0542050316221,0.0015379133346002725,93740.60863095238,4.074819860004244,0.0015379133346002725,93740.60863095238,4.074819860004244,1.607919488634382,0.022277132208858217,0.0,1452.9793875558037,4.074819860004244
