sample_id,dataset_index,selection_method,num_points,num_valid,w_available,collapse_flag,a_pred_norm,w_pred_std,kappa_pred_std,sensitivity_a_diff,kappa_corr,kappa_rmse,kappa_scale_ratio_std,kappa_scale_ratio_max,w_raw_rmse,w_aligned_mean_rmse,w_aligned_plane_rmse,w_aligned_plane_ratio,plane_a,plane_b,plane_c,w_true_std,baseline_target,baseline_rmse,baseline_init_mse,baseline_final_mse,baseline_w_only_w_rmse,baseline_w_only_kappa_rmse,baseline_w_only_corr_kappa,baseline_kappa_only_kappa_rmse,baseline_kappa_only_w_rmse,baseline_kappa_only_w_aligned_plane_rmse,baseline_both_w_rmse,baseline_both_kappa_rmse,model_w_rmse,model_kappa_rmse,model_corr_kappa,case_label
50,50,topk_w_rmse,128,128,True,True,0.0013616468058899045,0.0007724172550331136,0.12550031319874302,7.450580596923828e-09,0.07680354936939247,0.12578194213438415,15.014373282405245,10.636495510941124,0.003058481122434438,0.003028002864930664,0.003000263953405985,0.9809653332167327,0.004102032781811813,-0.00037222333909496384,3.4516042827001846e-05,0.0029262613647222753,,,,,0.0025502885862947484,0.3415431131455818,-0.22191074051628207,0.008486197258557569,0.002946404720459933,0.0027980270967140025,0.002923668510231916,0.007910944655505223,0.003058481122434438,0.12578194213438415,0.07680354936939247,CASE_UNIDENTIFIABLE
49,49,topk_w_rmse,128,128,True,True,0.0013616468058899045,0.000772417284913028,0.12550031415869586,7.450580596923828e-09,0.0771957135114915,0.1257767665745316,15.61776703703739,11.079684689158789,0.0029458579312567697,0.0029164965805497075,0.002889443500818883,0.9808495753174971,0.003976929159741025,-0.0003593016457876686,2.9998824102474924e-05,0.002814570698723353,,,,,0.0024459773452190853,0.32933401229742504,-0.22085804453591493,0.008158305510688881,0.0028336319633912557,0.002684904846394265,0.002811920397043729,0.007601454730549026,0.0029458579312567697,0.1257767665745316,0.0771957135114915,CASE_UNIDENTIFIABLE
24,24,topk_w_rmse,128,128,True,True,0.0013616548385471106,0.0007724215467192491,0.12550317508958814,1.1175870895385742e-08,-0.05261560506427897,0.12660805946487966,14.986655953556006,10.636717460601954,0.002852091682335368,0.002829229009323726,0.0028204771158697106,0.9889153049807394,-0.0021531599314884263,0.00027407183382403025,-0.00019145456804533386,0.002912275808989667,,,,,0.002670674864132608,0.27804527749383867,-0.23670515240141982,0.008486198545636106,0.0029464044900339766,0.002899205042867044,0.0029138413782057544,0.00803288077626886,0.002852091682335368,0.12660805946487966,-0.05261560506427897,CASE_UNIDENTIFIABLE
48,48,topk_w_rmse,128,128,True,True,0.0013616461073979735,0.0007724165096877046,0.12550031192526176,7.450580596923828e-09,0.077615609939107,0.12577247616146653,16.27063648911283,11.561408877737394,0.002833453620458284,0.0028052114918891567,0.0027788437796920085,0.9807267567847315,0.0038518397620377807,-0.00034637549270778907,2.547733913333562e-05,0.002703094174486749,,,,,0.002341671582213211,0.3171314150978597,-0.21968913784986294,0.00783090512933634,0.0027210746789926273,0.0025718206618316752,0.002700383616004622,0.007292372339091122,0.002833453620458284,0.12577247616146653,0.077615609939107,CASE_UNIDENTIFIABLE
23,23,topk_w_rmse,128,128,True,True,0.0013616553042083979,0.0007724217780860288,0.12550319753376948,1.1175870895385742e-08,-0.05203704366651078,0.12657011270334786,15.587814569349568,11.079914903513632,0.002739889580051055,0.0027181352977933373,0.0027100280948769958,0.989101208533556,-0.002028055971020248,0.0002611453861517225,-0.00018693506140696073,0.002800610747375128,,,,,0.0025663587641775536,0.2658798495759833,-0.23610221241041418,0.0077232284622053005,0.0028351061798923883,0.0027885595382156395,0.0028021110390896425,0.007723241333067503,0.002739889580051055,0.12657011270334786,-0.05203704366651078,CASE_UNIDENTIFIABLE
47,47,topk_w_rmse,128,128,True,True,0.0013616455253213644,0.0007724167131262988,0.12549975616320005,1.1175870895385742e-08,0.07806716842303936,0.12576850808514828,16.97908895680087,12.0868806013044,0.002721293852275664,0.002694173257552374,0.002668491193603986,0.9805964877231019,0.0037267221899153383,-0.00033344985811129034,2.0960223938846493e-05,0.0025918585693121827,,,,,0.0022373712465850438,0.3049359571093002,-0.21838569961184573,0.007504065333368084,0.0026087598910255584,0.002458778908753138,0.0025890846370277376,0.006983756026626726,0.002721293852275664,0.12576850808514828,0.07806716842303936,CASE_UNIDENTIFIABLE
22,22,topk_w_rmse,128,128,True,True,0.0013616541400551796,0.0007724212582114299,0.12550262984071764,1.1175870895385742e-08,-0.05140709422147334,0.12653244892034535,16.238093421421972,11.561603341951185,0.0026279591197288527,0.0026073141094374217,0.0025998462020135615,0.9893023763177139,-0.0019029525138688763,0.00024821857381922594,-0.00018241533468164585,0.002689162754830325,,,,,0.0024620471929154932,0.25372667078757,-0.23539989736864828,0.007413979736114828,0.0027224830972309884,0.0026752833738295802,0.0026905939742787295,0.007413992511336427,0.0026279591197288527,0.12653244892034535,-0.05140709422147334,CASE_UNIDENTIFIABLE
46,46,topk_w_rmse,128,128,True,True,0.001361645176075399,0.0007724165184466355,0.12549974175491274,1.1175870895385742e-08,0.07855169093317185,0.12576597291630373,17.750517638704576,12.66244164576266,0.0026094121430722266,0.002583415848550222,0.002558419083740907,0.98045802788697,0.003601618705972387,-0.0003205231312902179,1.6440596262833726e-05,0.002480897161380633,,,,,0.0021330779737612268,0.2927486848852354,-0.21692516613737423,0.007177857299842818,0.0024967212109702915,0.0023457866305227567,0.0024780563636956914,0.006675665576206448,0.0026094121430722266,0.12576597291630373,0.07855169093317185,CASE_UNIDENTIFIABLE
21,21,topk_w_rmse,128,128,True,True,0.0013616542564705014,0.0007724212967609793,0.12550262970210788,1.1175870895385742e-08,-0.05071797708033624,0.12649621648507028,16.943786163069003,12.087129835888929,0.0025163364698956663,0.002496801891830799,0.002489966915920749,0.9895206566012174,-0.0017778493816184508,0.00023528785309959077,-0.00017789361244953527,0.002577959784682629,,,,,0.0023577405645020884,0.24158757067463757,-0.23457793237157534,0.007504063916822805,0.002608760127932431,0.0025598551185903873,0.002579317648097991,0.0071051843675698405,0.0025163364698956663,0.12649621648507028,-0.05071797708033624,CASE_UNIDENTIFIABLE
45,45,topk_w_rmse,128,128,True,True,0.0013616466894745827,0.0007724171852284857,0.12550039590659168,7.450580596923828e-09,0.07907262590055615,0.12576499797479168,18.593442785119457,13.295630932649777,0.0024978441176254696,0.002472975415789372,0.002448663889054387,0.9803109296436662,0.003476514453523588,-0.00030759630136712693,1.192089450689425e-05,0.002370247064444154,,,,,0.002028791519708912,0.2805704639282536,-0.21528055359489182,0.0068523779184990205,0.0023849961371200977,0.0022328498941555463,0.0023673355020074854,0.006368183318628477,0.0024978441176254696,0.12576499797479168,0.07907262590055615,CASE_UNIDENTIFIABLE
