epoch,train_boundary_error,train_loss,train_loss_bc,train_loss_hf,train_loss_kappa,train_loss_w,train_raw_loss_hf,train_raw_loss_kappa,train_raw_loss_w,train_rmse_kappa,train_rmse_w,train_weighted_loss_hf,train_weighted_loss_kappa,train_weighted_loss_w,val_boundary_error,val_loss,val_loss_bc,val_loss_hf,val_loss_kappa,val_loss_w,val_raw_loss_hf,val_raw_loss_kappa,val_raw_loss_w,val_rmse_kappa,val_rmse_w,val_weighted_loss_hf,val_weighted_loss_kappa,val_weighted_loss_w
1.0,0.08015710970058161,26.51344514360615,0.007046936127795454,0.05690048828574957,1367.8932100183824,26.506397864397833,0.05690048828574957,1367.8932100183824,26.506397864397833,11.633697930504294,0.06254549890610517,0.0,0.0,26.506397864397833,0.021869501500737434,6.463632256376977,0.0004782750837358774,0.007105867597548401,580.5238575654871,6.463153988707299,0.007105867597548401,580.5238575654871,6.463153988707299,5.302229320301729,0.016114109250552514,0.0,0.0,6.463153988707299
2.0,0.008797725954768704,7.52885493110208,0.000117137965389702,0.00724082704925654,515.2506402707568,7.52873768525965,0.00724082704925654,515.2506402707568,7.52873768525965,4.326501266629088,0.01935213066491426,0.0,0.0,7.52873768525965,0.012681764020931487,6.928199581071442,0.00016082714023022893,0.00692085491712479,507.9746853697534,6.928038886949127,0.00692085491712479,507.9746853697534,6.928038886949127,4.775045609941669,0.02021121306746614,0.0,0.0,6.928038886949127
3.0,0.006331882941737479,4.475226196588254,5.873728561674201e-05,0.0034312697643341093,342.7532408471201,4.475167498869054,0.0034312697643341093,342.7532408471201,4.475167498869054,3.1231444279352822,0.012686155645140246,0.0,0.0,4.475167498869054,0.0015602314516025432,3.2290594016804413,2.4343220921568275e-06,0.0014294375980492024,181.59885421453737,3.2290570174946502,0.0014294375980492024,181.59885421453737,3.2290570174946502,1.864663558847764,0.009961460443104015,0.0,0.0,3.2290570174946502
4.0,0.000725048091993028,2.710142303915585,7.98511342067928e-07,0.0013783314794886346,210.32846622841032,2.710141518536736,0.0013783314794886346,210.32846622841032,2.710141518536736,1.9827822189705044,0.008866736099270045,0.0,0.0,2.710141518536736,0.0026063257463130297,2.110166498259002,6.792933930353006e-06,0.00045170059870453736,137.05289145076975,2.110159822538787,0.00045170059870453736,137.05289145076975,2.110159822538787,1.3042760900422639,0.006741945640932696,0.0,0.0,2.110159822538787
5.0,0.0039735186078092635,1.7029156778372971,1.9273367869055957e-05,0.0005046221035003078,137.70602177638634,1.7028964313806272,0.0005046221035003078,137.70602177638634,1.7028964313806272,1.314333111632104,0.005923475960598272,0.0,0.0,1.7028964313806272,0.007517325837968611,1.5851290389603259,5.651018749203478e-05,0.00030674496220479557,102.03461351581649,1.5850725337570788,0.00030674496220479557,102.03461351581649,1.5850725337570788,0.8875271724719628,0.005344851974251808,0.0,0.0,1.5850725337570788
6.0,0.0038620211850559595,1.0057297711278879,1.8892911077059314e-05,0.0001526809778000575,67.83259851792279,1.00571088755832,0.0001526809778000575,67.83259851792279,1.00571088755832,0.6159657114276699,0.0038077164413955283,0.0,0.0,1.00571088755832,0.0021618648350019663,0.594402856686536,4.6736593361071985e-06,8.402027985236298e-05,48.82577335133272,0.5943982075242435,8.402027985236298e-05,48.82577335133272,0.5943982075242435,0.4447754609818552,0.002830480654523069,0.0,0.0,0.5943982075242435
7.0,0.004520019342867183,0.7058108332110387,2.3170789420107086e-05,9.234277768329918e-05,40.9556219811533,0.705787669209873,9.234277768329918e-05,40.9556219811533,0.705787669209873,0.3871493637561798,0.003190822031933303,0.0,0.0,0.705787669209873,0.005273374034931846,0.4996778392324261,2.780847271245804e-05,5.218479382878571e-05,23.4017001507329,0.4996500225628124,5.218479382878571e-05,23.4017001507329,0.4996500225628124,0.21878861533660515,0.00263600794178452,0.0,0.0,0.4996500225628124
8.0,0.0022871476397210476,0.37438444705570445,7.987297131669092e-06,5.244184242602547e-05,31.770134159162932,0.37437645944894526,5.244184242602547e-05,31.770134159162932,0.37437645944894526,0.2986375075929305,0.002282041444570995,0.0,0.0,0.37437645944894526,6.077044150408576e-06,0.3283497661936517,3.6930489439955176e-11,3.660521278838061e-05,31.42526144139907,0.3283497661936517,3.660521278838061e-05,31.42526144139907,0.3283497661936517,0.28327950426176485,0.002133553879627702,0.0,0.0,0.3283497661936517
9.0,0.0008887390384402619,0.2860603794163349,1.155853799742196e-06,3.021044240620754e-05,28.16965409821155,0.2860592270598692,3.021044240620754e-05,28.16965409821155,0.2860592270598692,0.2532367782265532,0.002129502804475088,0.0,0.0,0.2860592270598692,3.399694055677209e-05,0.16262966102244808,1.1557919937026068e-09,1.2205095082012407e-05,12.767883282081753,0.16262966102244808,1.2205095082012407e-05,12.767883282081753,0.16262966102244808,0.12601500895677828,0.0017090256408076076,0.0,0.0,0.16262966102244808
10.0,0.0005869760660810725,0.3068893315160976,5.06765042617827e-07,4.36790544649828e-05,31.256060319788315,0.3068888213704614,4.36790544649828e-05,31.256060319788315,0.3068888213704614,0.28733480473359424,0.002116412358066323,0.0,0.0,0.3068888213704614,0.0007323125507408643,0.29331913707303064,5.362816628072395e-07,4.005224956713124e-05,38.64488167856254,0.29331860063122767,4.005224956713124e-05,38.64488167856254,0.29331860063122767,0.38634451990034063,0.0020182360803671913,0.0,0.0,0.29331860063122767
11.0,0.00030008929481446816,0.26494434768078373,1.3934423967628738e-07,3.0681962836716396e-05,29.244817995557597,0.26494420801892,3.0681962836716396e-05,29.244817995557597,0.26494420801892,0.2704729630666621,0.0020298904730189664,0.0,0.0,0.26494420801892,0.0010194344669763073,0.3559591945479898,1.0392466488245226e-06,3.971172512084355e-05,28.438181596643783,0.35595815146670623,3.971172512084355e-05,28.438181596643783,0.35595815146670623,0.29964905568197664,0.0022032828316749897,0.0,0.0,0.35595815146670623
12.0,0.0010389466690635435,0.2682814139361475,1.3265401009393156e-06,2.429844622098494e-05,23.03136713364545,0.2682800862719031,2.429844622098494e-05,23.03136713364545,0.2682800862719031,0.2135653606816834,0.002024174629089733,0.0,0.0,0.2682800862719031,0.00021319190444260398,0.2744393968114666,4.545078791760288e-08,3.408004761463506e-05,23.201244690838983,0.27443934188169594,3.408004761463506e-05,23.201244690838983,0.27443934188169594,0.1963734948167614,0.0020374937174732193,0.0,0.0,0.27443934188169594
13.0,0.000566737972001326,0.23153464174738117,5.253529852974402e-07,2.2503522617911337e-05,23.716246324426987,0.2315341146553264,2.2503522617911337e-05,23.716246324426987,0.2315341146553264,0.20999970506219304,0.001961879756338164,0.0,0.0,0.2315341146553264,8.432398788178997e-05,0.27505260998127506,7.1105349669255924e-09,2.607921180920219e-05,35.02895213108437,0.27505260998127506,2.607921180920219e-05,35.02895213108437,0.27505260998127506,0.3423085832128338,0.001960580606999643,0.0,0.0,0.27505260998127506
14.0,0.0007491441872701341,0.25045041564632864,1.172845533903506e-06,2.9042242614178023e-05,33.03368007435518,0.2504492437138277,2.9042242614178023e-05,33.03368007435518,0.2504492437138277,0.31548358353913997,0.001959945321740473,0.0,0.0,0.2504492437138277,0.002184230217929272,0.2310022916279587,4.7708615199428775e-06,3.1081359124715056e-05,39.23613739013672,0.23099752325637668,3.1081359124715056e-05,39.23613739013672,0.23099752325637668,0.35438018511323366,0.001873996971613344,0.0,0.0,0.23099752325637668
