sample_id,sample_name,point_id,w_pred,w_true,w_diff,w_abs_error,w_sq_error
0,merged_z_m0p002_dedup_filtered,0,-0.0014748902758583426,-0.001447714283131063,-2.7175992727279663e-05,2.7175992727279663e-05,7.385345807131571e-10
0,merged_z_m0p002_dedup_filtered,1,-0.0014442747924476862,-0.001375006278976798,-6.926851347088814e-05,6.926851347088814e-05,4.7981269584666114e-09
0,merged_z_m0p002_dedup_filtered,2,-0.0013887800741940737,-0.0013246310409158468,-6.414903327822685e-05,6.414903327822685e-05,4.115098470531056e-09
0,merged_z_m0p002_dedup_filtered,3,-0.0015219204360619187,-0.0008837009663693607,-0.000638219469692558,0.000638219469692558,4.0732409149465e-07
0,merged_z_m0p002_dedup_filtered,4,-0.0013573069591075182,-0.0008428021101281047,-0.0005145048489794135,0.0005145048489794135,2.647152396233291e-07
0,merged_z_m0p002_dedup_filtered,5,-0.001305198878981173,-0.001263270853087306,-4.1928025893867016e-05,4.1928025893867016e-05,1.757959355356783e-09
0,merged_z_m0p002_dedup_filtered,6,-0.0011916105868294835,-0.0012019394198432565,1.0328833013772964e-05,1.0328833013772964e-05,1.066847914264063e-10
0,merged_z_m0p002_dedup_filtered,7,-0.0011759975459426641,-0.0008019231609068811,-0.00037407438503578305,0.00037407438503578305,1.3993164553989927e-07
0,merged_z_m0p002_dedup_filtered,8,-0.0009962853509932756,-0.0007610530010424554,-0.0002352323499508202,0.0002352323499508202,5.5334258463385144e-08
0,merged_z_m0p002_dedup_filtered,9,-0.001050744904205203,-0.0011406324338167906,8.988752961158752e-05,8.988752961158752e-05,8.079767979674024e-09
0,merged_z_m0p002_dedup_filtered,10,-0.0008913947967812419,-0.0010793345281854272,0.0001879397314041853,0.0001879397314041853,3.532134264027731e-08
0,merged_z_m0p002_dedup_filtered,11,-0.0008360192296095192,-0.0007201872649602592,-0.00011583196464926004,0.00011583196464926004,1.3417044034507429e-08
0,merged_z_m0p002_dedup_filtered,12,-0.0007107694400474429,-0.0006793235661461949,-3.144587390124798e-05,3.144587390124798e-05,9.888429854131887e-10
0,merged_z_m0p002_dedup_filtered,13,-0.000728700659237802,-0.0010180397657677531,0.0002893391065299511,0.0002893391065299511,8.371711856755039e-08
0,merged_z_m0p002_dedup_filtered,14,-0.0005828326684422791,-0.0009567463421262801,0.00037391367368400097,0.00037391367368400097,1.3981143536786556e-07
0,merged_z_m0p002_dedup_filtered,15,-0.000632291950751096,-0.000638460973277688,6.169022526592016e-06,6.169022526592016e-06,3.8056838933599743e-11
0,merged_z_m0p002_dedup_filtered,16,-0.0006074475822970271,-0.0005975988460704684,-9.848736226558685e-06,9.848736226558685e-06,9.699760526032941e-11
0,merged_z_m0p002_dedup_filtered,17,-0.0005344660021364689,-0.0006223798263818026,8.791382424533367e-05,8.791382424533367e-05,7.728840493439419e-09
0,merged_z_m0p002_dedup_filtered,18,9.441848669666797e-05,-4.381816864906796e-08,9.446230486531704e-05,9.446230486531704e-05,8.923127040468098e-09
0,merged_z_m0p002_dedup_filtered,19,4.6744382416363806e-05,-3.940547443903597e-08,4.678378789080284e-05,4.678378789080284e-05,2.1887228094116307e-09
0,merged_z_m0p002_dedup_filtered,20,-2.975576171593275e-05,-3.528859693346931e-08,-2.972047311899928e-05,2.972047311899928e-05,8.833065224171588e-10
0,merged_z_m0p002_dedup_filtered,21,-0.00013069888518657535,-3.133590809056841e-08,-0.00013066754927848478,0.00013066754927848478,1.707400843444525e-08
